REEF_NAME,GBR_SECTOR,RV,TRIP_ID,TRIP_METADATA_LINK,DATE,SAMPLE_DATE_SEAWATER_SEDIMENTS,LATITUDE,LONGITUDE,WATER_COLLECTION_(VOL),COLLECTION_METHOD,UNDERWAY_DATA_TIME,SEAWATER_TEMPERATURE_2.5m_RV,SALINITY_2.5m_RV ,TURBIDITY_2.5m_RV ,FLUORESCENCE_2.5m_RV,OPEN_CLOSED_TO_FISHING,SAMPLE_COLLECTION_START,MEAN_CHLOROPHYLL-A_�g_L,MEAN_PHAEOPHYTIN-A_�g_L,MEAN_PN_�M,MEAN_POC_�M,MEAN_PP_�M,MEAN_DOC_�m,MEAN_PO4_�M,MEAN_NH4_�M,MEAN_NO2_�M,MEAN_NO3_�M,MEAN_Si_�M,MEAN_TDN_�M,MEAN_TDP_�M,MEAN_TSS_mg_L,illumina_seawater_zip
21-580,South,Solander,7299,https://apps.aims.gov.au/metadata/view/9B305067-A8E2-6099-E054-0010E056919A,18/01/2020,18/01/2020,-21.94489,152.58116,40L,Diving,15:40:09,27.3815,35.3533,1.717967,0.1126,C,15:38:00,0.21764,0.23725,1.693333333,8.04222,0.043886667,72.77777667,0.016666667,0.72,0.03,0.19,NA,6.316666667,0.233333333,0.103333333,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/21-580.seawater.tar.gz
SMALL LAGOON REEF,South,Solander,7299,https://apps.aims.gov.au/metadata/view/9B305067-A8E2-6099-E054-0010E056919A,20/01/2020,20/01/2020,-21.86969,152.50674,40L,Diving,15:48:44,27.5168,35.6272,1.785122,0.1126,O,15:50:00,0.098356667,0.149896667,2.069523333,8.797776667,0.034786667,81.94444333,0.056666667,0.986666667,0.043333333,0.606666667,1.54,7.2,0.23,0.206666667,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/SmallLagoon.seawater.tar.gz
NORTH REEF,South,Solander,7299,https://apps.aims.gov.au/metadata/view/9B305067-A8E2-6099-E054-0010E056919A,21/01/2020,21/01/2020,-23.1775,151.90408,40L,Diving,16:07:35,28.7042,35.5376,1.717967,0.1248,C,16:10:00,0.13722,0.14045,1.80762,9.392223333,0.079126667,75.55555667,0.033333333,0.696666667,0.033333333,0.38,1.23,NA,0.21,0.13,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/North.seawater.tar.gz
AGINCOURT REEF,Central,Ferguson,7320,https://apps.aims.gov.au/metadata/view/9E2FE400-5BBB-0B7C-E054-0010E056919A,8/02/2020,8/02/2020,-16.04517,145.86415,40L,Diving,16:11:07,29.501,34.8262,1.083626,0.2423,C,16:10:00,0.19133,0.19396,1.402856667,10.90333333,NA,68.88889,0.04,0.426666667,0.02,0.19,1.83,4.823333333,0.193333333,0.147036667,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Agincourt1.seawater.tar.gz
HASTINGS REEF,Central,Ferguson,7320,https://apps.aims.gov.au/metadata/view/9E2FE400-5BBB-0B7C-E054-0010E056919A,12/02/2020,12/02/2020,-16.50097,146.0159,40L,Diving,16:36:05,30.3575,34.626,0.973736,0.3632,C,16:35:00,0.149776667,0.203583333,1.302856667,9.747776667,0.149883333,65.27778,0.02,0.253333333,0.023333333,0.2,1.566666667,4.573333333,0.15,NA,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Hastings.seawater.tar.gz
ARLINGTON REEF,Central,Ferguson,7320,https://apps.aims.gov.au/metadata/view/9E2FE400-5BBB-0B7C-E054-0010E056919A,13/02/2020,13/02/2020,-16.63941,146.1028,40L,Diving,17:41:47,30.3322,34.7227,0.967631,0.3901,O,17:45:00,0.211956667,0.39396,1.474286667,10.45889,0.088076667,66.38888667,0.036666667,1.356666667,0.066666667,0.64,2.786666667,5.583333333,0.153333333,1.69,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Arlington.seawater.tar.gz
THETFORD REEF,Central,Ferguson,7320,https://apps.aims.gov.au/metadata/view/9E2FE400-5BBB-0B7C-E054-0010E056919A,15/02/2020,15/02/2020,-16.77893,146.19447,40L,Diving,16:10:52,29.9204,34.7451,0.937106,0.4169,O,16:15:00,0.1707,0.197366667,0.869523333,6.914443333,0.03987,60.55555667,0.033333333,1.043333333,0.06,0.636666667,2.043333333,5.773333333,0.16,0.21,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Thetford.seawater.tar.gz
MOORE REEF,Central,Ferguson,7320,https://apps.aims.gov.au/metadata/view/9E2FE400-5BBB-0B7C-E054-0010E056919A,16/02/2020,16/02/2020,-16.8474,146.23148,40L,Diving,15:40:00,30.2466,34.7456,0.912686,0.4169,C,15:45:00,0.196413333,0.164126667,1.23143,8.836663333,0.056306667,72.77778,0.01,0.223333333,0.026666667,0.08,2.556666667,5.72,0.176666667,0.463333333,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Moore.seawater.tar.gz
HEDLEY REEF,Central,Ferguson,7320,https://apps.aims.gov.au/metadata/view/9E2FE400-5BBB-0B7C-E054-0010E056919A,19/02/2020,19/02/2020,-17.22383,146.47433,40L,Diving,16:49:11,30.1595,34.7197,0.790586,0.3095,C,16:45:00,0.493866667,0.42559,1.664763333,12.99777667,0.07347,67.5,0.01,0.543333333,0.01,0.063333333,NA,5.826666667,0.133333333,0.3,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Hedley.seawater.tar.gz
MCCULLOCH REEF,Central,Ferguson,7320,https://apps.aims.gov.au/metadata/view/9E2FE400-5BBB-0B7C-E054-0010E056919A,20/02/2020,20/02/2020,-17.20274,146.47807,40L,Diving,15:43:05,30.6056,34.7274,0.790586,0.296,O,15:43:00,0.229296667,0.4907,1.364763333,NA,0.0563,65.83333,0.01,1.17,0.026666667,0.246666667,2.176666667,5.18,0.126666667,0.106666667,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/McCulloch.seawater.tar.gz
